Unnamed: 0,date,review,rating,tokens
737,22.08.01.,디자인이 좋아서 선택했습니다. 물론 가격도 좋았구요. 무게는 음료를 담고도 생각보다 무겁지 않아서 좋아요. 기능은 아직 실사용전이라 잘 모르겠지만 좋을 거라 생각합니다. 제주도임에도 배송 엄청 빨라서 전혀 걱정 안되었구요. 9개를 구매했고 선물로 3개를 받아서 총 12개였어요. 마크 안 찍힌 것이 3개. 다른 마크가 찍힌 것이 2개였습니다. 이 점이 아쉬워 별이 4개입니다.,4,"['디자인', '좋다', '선택', '가격', '좋다', '무게', '음료', '담다', '생각', '무겁다', '않다', '좋다', '기능', '실사', '용다', '자다', '모르다', '좋다', '생각', '제주도', '배송', '빨', '전혀', '걱정', '안되다', '구매', '선물', '받다', '총', '개다', '마크', '안', '찍히다', '마크', '찍히다', '개다', '점', '아쉽다', '별', '개입', '니']"
738,22.08.16.,"한손에 잡기도 편하고 
색도 이쁘고 

용량도 넉넉하고  다 좋슴다 ~",5,"['손', '잡기', '편하다', '색도', '이쁘다', '용량', '넉넉하다', '좋슴다']"
739,22.08.16.,"좋아요 !!

화이트랑 홀로그램이 진짜 .. 이뻐요 ㅇㅁㅇ!!",5,"['좋다', '화이트', '홀로그램', '진짜', '이쁘다']"
740,22.07.28.,"그 전에  쓰다가 좋아서 재구매했습니다
주변지인들도 좋다고 해서 링크 알려줬어요
처음 구매했을때보다 가격이 좀 올랐지만 뚜껑이 더 탄탄해졌네요~~ 나중에 다 쓰면 또 구매하러 올게요~~",5,"['전', '쓰다', '좋다', '재다', '주변', '지인', '좋다', '링크', '알다', '주다', '처음', '구매', '가격', '뚜껑', '더', '탄탄하다', '나중', '쓰다', '구매', '오다']"
741,22.09.01.,벤티는 들어가는데 길고 얇고 가벼워서 진짜 좋고 안새서 너무 좋아요,5,"['베다', '티', '들어가다', '길다', '얇다', '가볍다', '진짜', '좋다', '새다', '좋다']"
742,22.09.07.,디자인도 색감도 다 좋아요,5,"['디자인', '색감', '좋다']"
743,22.06.21.,"6월 20일 배송예정이라고 하셨는데
18일 토요일에 배송완료 되었어요ㅎㅎ

가지고 디니기 딱 좋은 무게와 사이즈이고
무엇보다 보냉이 정말 확실하네요??
밤 10시에 담아 밤새 쓰고 담날 오후 4시까지
얼음이 살아 있어요. 남아 있는 얼음보고
우와우와 감탄사를 연발했다는ㅎㅎ

물 채우고 가방 속에 넣어도 새지 않지만
스크래치에는 약한 듯 합니다.

3+1 행사라 원하는 컬러 요청에도 
잘 들어주시고 4컬러(화이트, 연보라, 핑크, 블랙)
모두 예뻐서 매우 만족 합니다.??",5,"['배송', '예정', '토요일', '배송', '완료', '가지', '디', '기', '좋다', '무게', '사이즈', '보', '냉이', '정말', '확실하다', '밤', '담다', '밤새', '쓰다', '담날', '오후', '얼음', '살', '남아', '얼음', '보고', '감탄사', '연발', '물', '채우다', '가방', '속', '넣다', '새다', '않다', '스크래치', '약하다', '행사', '원하다', '컬러', '요청', '자다', '들어주다', '컬러', '화이트', '핑크', '블랙', '예쁘다', '매우', '만족']"
744,22.08.19.,"지인들 선물도하고 저도 쓰려고 여러개
주문했어요
벤티사이즈  너무 편하고 좋아요
그리고 보냉기능 진짜 짱이에요??",5,"['지인', '선물', '도하', '쓰다', '여러', '주문', '베다', '티', '사이즈', '편하다', '좋다', '보냉', '기능', '진짜', '짱']"
745,22.07.21.,색깔별로 따로 리뷰를 남길 수 있는거군요..! 앞서 길게썼었는데 ㅎㅎ 복사해둘걸.. 등산갈때 가방에 막넣어도 될만큼 보냉잘되고 물이 새지도 않아서 만족합니다.,5,"['색깔', '색깔별로', '리뷰', '남다', '앞서', '길다', '써다', '복사', '둘걸', '등산', '갈다', '가방', '막', '넣다', '보냉', '물이', '새', '지도', '않다', '만족하다']"
746,22.07.22.,저렴한 가격에 좋은 물건 득템 했어요 유명브렌드와 비교해도 뒤지지않을 만큼 이쁘고 성능도 좋네요 잘 쓸께요 많이 파세요,5,"['저렴하다', '가격', '좋다', '물건', '득템', '유명', '브렌', '드', '비교', '뒤지다', '않다', '이쁘다', '성능', '좋다', '자다', '쓸다', '파다']"
