Unnamed: 0,review,tokens
1456,색상이 무난하니 어디에나 가지고 다니고 싶은 텀블러에요 좋은 상품 감사합니다??,"['색상', '무난', '가지', '다니다', '텀블러', '좋다', '상품', '감사하다']"
1457,늘 쓰는 보온병이에요 쓰기 편하고 너무 이뻐요,"['늘', '쓰다', '보온병', '쓰기', '편하다', '이쁘다']"
1458,너무 깔끔하고 예쁘네요 선물했는데 받은 사람이 너무 좋아하네요,"['깔끔하다', '예쁘다', '선물', '받다', '사람', '좋아하다']"
1459,컬러는 화면보다 살짝 연해요 ㄱㄷ래도 이쁩니다,"['컬러', '화면', '살짝', '연해', '이쁘다']"
1460,같은 모델 몇 년 사용 중인데 좋아서 하나 더 구매했어요 손잡이가 있어서 들고 다니기 편하고 사용하기도 좋아요 입구가 넓어서 세척하기도 굿 보냉 보온도 잘 되는 편,"['모델', '사용', '좋다', '더', '구매', '손잡이', '들다', '다니다', '편하다', '사용', '좋다', '입구', '넓다', '세척', '굿', '보냉', '보온', '자다', '편']"
1461,보온 시간 오래가네요,['보온']
1462,킨토 텀블러 고민고민하다 구매했어요 후기들도 좋아서 뚜껑을 안 닫아도 얼음이 덜 녹길 바랐는데 그건 아닌 거 같아서 아쉽네요 그래도 편리하고 조 씁니다,"['킨토', '텀블러', '고민', '고민', '구매', '후기', '좋다', '뚜껑', '안', '닫다', '얼음', '덜', '녹다', '바르다', '아니다', '아쉽다', '편리하다', '조', '쓰다']"
1463,뚜껑 쪽이 미세하게 안 맞는 느낌이ㅜ드네요 ㅠㅠ 조금 아쉽긴 하지만 이전에 똑같은 제품 쓰다가 필요해서 재구매했는데 들고 다니기 편해요,"['뚜껑', '쪽', '미세하다', '안', '맞다', '느낌', '이드', '아쉽다', '이전', '똑같다', '제품', '쓰다', '필요하다', '재다', '들다', '다니다', '편하다']"
1464,진작에 이걸 샀어야 했는데 정말 편하고 좋아요 일단 새지는 않아서 다행입니다,"['진작', '사다', '정말', '편하다', '좋다', '새', '않다', '다행']"
1465,예뻐서 샀어요 기능은 좋고요 ㅎㅎㅎ,"['예쁘다', '사다', '기능', '좋다']"
1466,탄탄하고 좋아 보여요 어디에나 가지고 다니기 좋은 디자인입니다?? 좋은 제품 감사합니다,"['탄탄하다', '좋다', '보이다', '가지', '다니다', '좋다', '디자인', '좋다', '제품', '감사하다']"
1467,배송 빠르게 받고 잘 사용하려 합니다,"['배송', '빠르다', '받다', '자다', '사용']"
1468,포장도 꼼꼼하게 오고 제품도 문제없이 왔어요 배송 빠르고 좋아요,"['포장', '꼼꼼하다', '오다', '제품', '문제', '오다', '배송', '빠르다', '좋다']"
1469,디자인도 예쁘고 가벼워요 전날 오후 3시에 얼음 넣어놨는데 다음날 아침에도 얼음이 절반 정도 남아있네요,"['디자인', '예쁘다', '가볍다', '전날', '오후', '얼음', '넣다', '날', '아침', '얼음', '절반', '정도', '남다']"
1470,카키색 있는데 아들이 사달라고 해서 하나 더  구매했는데 아들이 좋아합니다 텀블러 중에서 보온 보냉력 짱 디자인 굿입니다,"['카키색', '아들', '달라', '더', '구매', '아들', '좋아하다', '텀블러', '보온', '보냉', '짱', '디자인', '굿']"
1471,디자인 사용성 세척성 다 좋은 편입니다 저극 추천합니다,"['디자인', '사용성', '세척', '좋다', '편입', '니', '극', '추천']"
1472,화이트 깔끔하고 이뻐요 보냉 보온은 아직 안 써봐서 모르겠어요,"['화이트', '깔끔하다', '이쁘다', '보냉', '보온', '안', '써다', '보다', '모르다']"
1473,들고 다니기 편하고 보온도 잘 유지돼서 좋네요,"['들다', '다니다', '편하다', '보온', '자다', '유지', '좋다']"
1474,고민하다가 결국 샀는데 색상 사이즈 디자인 전부 맘에 들어요,"['고민', '사다', '색상', '사이즈', '디자인', '맘', '들다']"
1475,깔끔하고 좋아요 배송 빠르고요,"['깔끔하다', '좋다', '배송', '빠르다']"
