date,review,rating
24.01.25.,"텀블러가 이쁘고 차가운거 마실땐 얼음 잘아놓고 따뜻한거 마실때 잘 안 식네요 
근데 뚜껑 덮을때 겉에 고무는 잘밀려요 이간 아쉽.. ㅠ",5
24.02.01.,2번째 구매요~~  오래쓰니 손잡이가 빠져버렸네요 재구매합니다,5
24.01.15.,ㅜ 뚜껑이ㅜ자세히 보니 라운드져서 .. 얼음도 금방 녹고 예전에 삿을땐 진짜 오래갓엇는데  예전만 못해요,3
23.12.10.,그냥 평범한 보온병이에요.,3
23.10.17.,포장도 잘 되고 배송도 빠르고 제품도 정말로 좋아요,5
23.09.13.,배송 빠르구요. 받자마자 세척하고 사용중인데 정말 좋습니다!,5
23.05.27.,보냉 엄청 잘돼요 무지개빨대는 예쁜지 모르겠어요 ㅎㅎ;,5
23.05.26.,신랑 최애 텀블러 입니다. 특히 운전할때 좋아요,5
23.03.14.,주변 지인들에게 많이 추천하는 더치커피메이커 세트 다들 좋아라 하시네요~,5
23.03.13.,너무 만족스럽게 쓰고 있습니다,5
23.02.13.,보온도 잘되고 밀폐력도 좋네요 또 구매할게요,5
23.01.11.,가운데 실리콘 구멍에 빨대 꽂는 것도 편하고 튼튼해서 좋아요 뚜껑 열 때 좀 힘든데 그래야 안 샐 것 같아서 나쁘지 않아요,5
22.12.05.,"아침마다 커피를 내려서 출근을하는데 가방에 넣어다니다가 커피를 쏟아버린적이 있어요...
빨대컵을 쓰면서 완전밀폐가되는 제품을 찾았는데....
딱 제가 찾던 제품이예요.
문제는 제것만 그럴수도 있는데 중앙 빨대고정부분이 좀 어설프고 상태가 좋지 않은것 같아요..
일단 어느정도 밀페는 가능해서 사용하긴하는데 검수를 좀더 꼼꼼히 해주셔야 할것 같아요.",4
22.12.29.,"보온성이 좋고 가벼워서 겨울이면 항상 사용합니다
남편 주려고 재주문 했어요",5
22.12.25.,"디자인은 괜찮은데, 음료마시는 입구부분이 너무 뻑뻑해서 열고 닫을때 손아파요ㅠㅠ",4
22.12.14.,좋음. 일단 얼음 넣고 최대 5시간 정도까지 안녹는듯. 유용하게쓰고있음,5
22.10.15.,"딱 원하던 텀블러에요~ 
쓰기 너무 편해요",5
22.09.18.,가격 저렴하고 이쁘고 실용성 좋아서 샀어요 용량도 딱 좋아요 뚜껑은 단단하게 잘 닫히는데 빨대 구멍 쪽 고무패킹은 잘 열려서 뒤집히면 샐 수도 있어요 참고하시라고 적어놓습니다.,5
22.09.15.,"안녕하세요 
너무도 좋아용
다음에도 주문하러 올께용^-^",5
22.08.19.,"빈플러스 빨대형 밀폐 뚜껑이있는 텀블러를 잘 사용하고 있어서 지인 선물로 텀블러도 여기서 주문해보았습니다!

역시 보온보냉 짱짱에다가 대용량까지.. 좋은 제품 감사드립니다!!",5
22.09.13.,괜찮아요 괜찮아요 ㅋㅋ,5
22.07.10.,"안녕하세요
잘쓸게습니다^-^
다음에도 주문하러 올께용^-^",5
22.06.29.,"신랑거랑 두 개 구매 했어요. 
가볍고 좋아요",5
22.06.29.,양도 많이 들어가고 좋아요~,5
22.06.15.,이 무광 질감 보이시죠? 무조건 사세요,5
22.06.01.,"이거만 3개째 주문이요
너무좋아요 얼음도 오래가고 보냉효과좋아요
새로나온 텀블러있길래 같이 주문햇어요",5
22.05.25.,아직 써보진않았는데 엄청 튼튼해보여요!,5
22.03.26.,"휴대용으로 구매했어요 아직 미사용이라 물이 흐르는지는 확인불가
사용전 한번 세척했는데 안에 녹이들었어요 보틀을 많이 사용해봤지만 녹은 첨이네요 
찝찝해서 사용을. 못하고있어요",1
22.03.25.,배송받고 보니 입구 스탠 쪽에 흠집이 조금 있었어요. 서비스 센터의 친절한 대처로 빠른 교환 가능했습니다.,4
22.04.06.,아직까지 별 기스도 없이 너무 편하게 잘쓰고 있습니다,5
22.03.15.,쓸만하고. 나름. 밥값합니다,5
22.02.23.,"보기보다 훨씬 가벼워요
깔끔하고 심플한 디자인이 마음에 쏙 드네요",5
22.03.06.,좋아요 적극 추천 드려요,3
22.01.18.,"예전에도 구입해서 쓰다가 엄마가 좋다고 가져가셔서 재구매했어요~~
보온이 오래가서 좋아요~^^",4
22.01.04.,"디자인, 밀폐력, 가격  모두 마음에  드는데  뚜껑 고무재질이 좀 끈적거려서 뜨거운 차나 커피 마실때 쓰는데 좀 신경쓰이네요.",4
22.02.08.,"처음으로 커피 내려 보니 깔끔하고 좋아요..
우리집이 커피숍으로 변했네요^^",5
22.02.06.,튼튼하고 용량크고 심플하니 이쁘고 보온도 잘되고 재구매입니다!,5
22.01.10.,감사합니다 좋아요 최고입니다,4
22.01.08.,정말 만족합니다 좋아요,5
21.12.27.,너무 마음에 들어요^^ 쓰기도 편하고 좋습니다~,5
21.11.20.,"배송도 빠르고 생각보다 더 크고 이쁘네요
자동차 홀더에 들어갈지가 ~음",5
21.12.06.,두번째 구매 선물했네요~~^^,5
22.01.13.,좋아요 편해요 빨라요,3
21.12.02.,아버님 등산가실 때 사용하시라고 주문해드렸어요! 잘 쓰겠습니다:),5
21.11.02.,"그립감이 좋고
늘 사용하는 제품입니다.
보온 보냉 다 잘 됩니당",5
21.11.04.,"아이 물병으로 구매 했어요
보냉 잘 되는 것 같아요
무엇보다 예뻐요",5
21.11.25.,잘사용할게요^@^@,5
21.09.13.,"아주 좋아요
튼튼하고 보온/보냉도 잘되고
출근할때 넣어둔 얼음이 퇴근할때까지 다 안녹았네요(지하주차장). 
이전에 쓰던 스벅텀블러보다 보냉성능은 확실하네요. 
분명 보온 성능도 좋을듯하네요

구지 단점을 지적하라면 뚜껑이 엄청 빡빡해요. 
힘을 많이 줘야합니다. 이건 밀폐력이 좋다는 장점이 될수도 있겠네요.  ^^",5
