date,review,rating
25.05.01.,"나도 사고 남친꺼도 사고 친구 생일 선물로도 사줌. 스0리도 쓰고 있지만 솔직히 손이 더 많이 가는건 이거임ㅇㅇ 스탠리는 밀폐 안돼서 밖에 가지고 못나가는데 이건 스트랩도 있고 가벼운 무게, 작은 사이즈로 이상적인 텀블러 그 자체임. 심지어 깔끔하고 예뻐서 더 좋아",5
25.05.01.,쇠맛 안나고 보온보냉 매우 잘됩니다. 무엇보다 디자인이 너무 예뻐요! 덕분에 스타벅스 할인 받으면서 마시고 있습니다~,5
25.04.29.,좋아요! 좋은데…아무래도 도자기코팅이 까지네요. 입구쪽 살짝 까졌구요 얼마전 블루베리 넣어 숟가락으로 먹엇는데 안쪽도 까졋어요ㅠㅠ 조심조심 드립커피만 내려 먹어야할 것 같아요,4
25.02.15.,"METRO CAFE 로고가 있네요, 너무 영롱하고 마음에 들어요. 시크한 블랙으로 선택을 했는데 역시 깔끔합니다. 깊은 부분까지 손으로 넣어서 세척할 수가 있어서 좋습니다. 뜨거운 물 마시기에도 너무 좋아요. 그만큼 보온 기능성이 뛰어납니다. 카페에 갈 때도 들고가서 300원 또는 500원 할인 받고 커피 마시기 좋을 것 같습니다. 자취하는 사람인데 텀블러 하나가 이렇게 기분 좋게 하고 살랑살랑 춤추게 합니다. 텀블러 아주 예쁜 걸 탐색하고 있다가 락앤락 텀블러 중에서도 마음에 드는 게 썩 없었지만 이걸 보고나서 너무 갖고 싶어서 주문하게 되었는데 역시 배송오고나서 너무 마음에 들어서 완벽합니다. 스트링 부분까지도 주셔서 감사합니다만 사용은 잘 안할 것 같아요. 그래도 디자인상으로 하고 싶을땐 잘 넣어서 꼬맨 뒤에 사용하면 더욱 이쁠 것 같아요. 유일한 단점을 하나만 뽑자면 물이 나오는 부분이 약간만 더 컸었으면 좋겠습니다. 상당히 작아서 뜨거운 물이나 음료를 마시기엔 좋으나 빨대를 이용하면 더 뜨거워 질 것 같아요. 그래서 빨대는 자기 취향이니 빨대는 삼가서 이용하면 될 것 같아요. 차가운 커피 음료는 뚜껑없이 그냥 마시는게 좋아요. 구멍이 작아서 시원한 음료 마시기엔 쬐끔 아쉽습니다. 객관적인 리뷰를 작성하였슴니다. 번창하세요, 감사합니다.",5
25.04.14.,기존에 머그텀블러 사용중이었는데 물도 안새고 보온 유지도 잘되는거 같아 이번엔 다른모델 구입해봤어요. 텀블러는 빠르게 잘 도착했고 디자인도 심플하니 마음에 들어요. 많이 파세요~,5
25.03.29.,아소부 살까 고민하다 이걸로 샀는데요 완전 만족 합니다 같이 주는 스트랩도 맘에 들고 디자인이 이뻐요 약간 아파트나 학교 벽 시맨트 후 페인트 처리한 오돌토돌 느낌이라 넘 신선해요 밀패 좋고 마시는 구멍도 공기 주입 구멍이 있어 마시기 편하네요 ㅎㅎ 국산 브랜드 중 이런게 나와서 좋아요 ㅎ,5
25.04.27.,생각보다 뚱뚱해서 놀람 (손이 작아서 그럴수도) 예전부터 고민하다가 산건데 만족스러움,5
25.02.02.,"스탠리 스트로우 텀블러 877ml 이용 중에 작은 디테일이나 휴대성 측면에서 불편함을 느껴 구매하게 됐습니다. 기존 텀블러 사용시 불편을 느꼈던 지점은 - 세척의 번거로움 (하단까지 꼼꼼히 씻으려면 별도의 도구 필요) - 압도적인 크기만큼 압도적인 무게 - 완전 밀폐가 되지 않아 외출시 휴대가 꺼려짐 - 비싼 가격에도 불구하고 디테일이 조금 부족함. (밀폐, 컵 하단 실리콘 패킹 등) 텀블러 구매 시 고려했던 사항으로는 1. 완전 밀폐 (새지 않는 텀블러) 2. 텀블러 하단 실리콘 (내려 놓을 때 소리가 나지 않는) 3. 별도의 도구 없이 세척이 가능한 넓이 위 세 조건에 부합하는 텀블러를 찾다 발견해 구매했습니다. 장점 1. 뚜껑 -트라이탄 소재라 안심할 수 있음 -밀폐력이 좋아 액체를 가득 넣고 흔들어도 새지 않음 -입구(액체가 나오는 부분)이 좁지만 공기 구멍이 있어 음용에 있어 액체가 왈칵 쏟아지거나 답답하게 나오는 경우가 없음 -구성품인 스트랩 부착 후 사용시 손이 부족할 때에도 편하게 들고 다닐 수 있음 2. 본체 (컵) - 보냉이 잘 됨 (보온은 테스트 해보지 않았음) - 내부 세라믹 코팅으로 일반 스탠 텀블러와 비교 했을때 색 베임, 냄새 베임, 세척 등 여러 부분에서 퀄리티의 차이가 느껴짐 - 입구가 넓고 안으로 갈 수록 좁아지지 않아 손을 넣어 안까지 세척가능 - 해당 제품보다 작은 사이즈의 텀블러(타사제품)와 비교했을때 압도적으로 가벼운 무게 - 500ml 사이즈 지만 손이 작은 여성에게도 그립감이 좋음 - 하단부 실리콘 덕분에 유리 테이블에 올려 둘 때도 쨍한 소음이 들리지 않음. 단점 - 세척시 스트랩을 매번 끼웠다 뺐다 해줘야하는 번거로움 (물에 잘 젖지 않거나 빨리 마르는 소재였다면 더 좋지 않았을까.) - 차가운 음료를 담을때 텀블러 외부가 차가워지는 느낌을 받음 (뜨거운 음료를 담을때 조금 곤란하지 않을까.) 휴대용으로 자주 손이 갈 것 같고, 기존 스탠리 텀블러는 집에서 물 마실때나 이용 할 것 같습니다.",5
25.04.21.,총알배송에 감동이었습니다!! 500미리 용량인데 한손으로 들기 좋구요 디자인도 맘에 들고 손이 들어가서 세척도 편리합니다,5
25.04.29.,"이미 사용하던 제품인데 만족도 높아서 재구매했어요! 사이즈, 디자인, 물도 안새고 너무 좋습니다! ????",5
